?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000922>	"OGEM:000001"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"AAO:0011035"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"VHOG:0001766"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"ZFA:0000103"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"MIAA:0000019"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"MESH:D004622"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"EMAPA:16039"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"UMLS:C0013935"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"BTO:0000379"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"Wikipedia:Embryo"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"FBbt:00000052"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"EHDAA2:0000002"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"AEO:0000169"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"NCIT:C28147"
<http://purl.obolibrary.org/obo/UBERON_0000922>	"MAT:0000226"
