?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/UBERON_0006966>	<http://www.w3.org/2000/01/rdf-schema#label>	"coronary capillary"	
<http://purl.obolibrary.org/obo/GO_0048628>	<http://www.w3.org/2000/01/rdf-schema#label>	"myoblast maturation"	
<http://purl.obolibrary.org/obo/UBERON_0011148>	<http://www.w3.org/2000/01/rdf-schema#label>	"submucosal gland"	
<http://purl.obolibrary.org/obo/UBERON_0000062>	<http://www.w3.org/2000/01/rdf-schema#label>	"organ"	
<http://purl.obolibrary.org/obo/GO_0060428>	<http://www.w3.org/2000/01/rdf-schema#label>	"lung epithelium development"	
<http://purl.obolibrary.org/obo/GO_0061453>	<http://www.w3.org/2000/01/rdf-schema#label>	"interstitial cell of Cajal differentiation"	
<http://purl.obolibrary.org/obo/PR_P11836>	<http://www.w3.org/2000/01/rdf-schema#label>	"B-lymphocyte antigen CD20 (human)"	
<http://purl.obolibrary.org/obo/CL_0000038>	<http://www.w3.org/2000/01/rdf-schema#label>	"erythroid progenitor cell"	
<http://purl.obolibrary.org/obo/UBERON_0010409>	<http://www.w3.org/2000/01/rdf-schema#label>	"ocular surface region"	
<http://purl.obolibrary.org/obo/GO_0071692>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein localization to extracellular region"	
<http://purl.obolibrary.org/obo/GO_0002521>	<http://www.w3.org/2000/01/rdf-schema#label>	"leukocyte differentiation"	
<http://purl.obolibrary.org/obo/UBERON_0015179>	<http://www.w3.org/2000/01/rdf-schema#label>	"somite boundary epithelium"	
<http://purl.obolibrary.org/obo/GO_0048341>	<http://www.w3.org/2000/01/rdf-schema#label>	"paraxial mesoderm formation"	
<http://purl.obolibrary.org/obo/GO_0034253>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of amide catabolic process"	
<http://purl.obolibrary.org/obo/PATO_0001241>	<http://www.w3.org/2000/01/rdf-schema#label>	"physical object quality"	
<http://purl.obolibrary.org/obo/GO_0035992>	<http://www.w3.org/2000/01/rdf-schema#label>	"tendon formation"	
<http://purl.obolibrary.org/obo/UBERON_0009615>	<http://www.w3.org/2000/01/rdf-schema#label>	"midbrain hindbrain boundary neural plate"	
<http://purl.obolibrary.org/obo/UBERON_0003462>	<http://www.w3.org/2000/01/rdf-schema#label>	"facial bone"	
<http://purl.obolibrary.org/obo/GO_0048319>	<http://www.w3.org/2000/01/rdf-schema#label>	"axial mesoderm morphogenesis"	
<http://purl.obolibrary.org/obo/UBERON_0009576>	<http://www.w3.org/2000/01/rdf-schema#label>	"medulla oblongata sulcus limitans"	
<http://purl.obolibrary.org/obo/UBERON_0004734>	<http://www.w3.org/2000/01/rdf-schema#label>	"gastrula"	
<http://purl.obolibrary.org/obo/GO_0051640>	<http://www.w3.org/2000/01/rdf-schema#label>	"organelle localization"	
<http://purl.obolibrary.org/obo/GO_0032413>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of ion transmembrane transporter activity"	
<http://purl.obolibrary.org/obo/UBERON_0002345>	<http://www.w3.org/2000/01/rdf-schema#label>	"descending thoracic aorta"	
<http://purl.obolibrary.org/obo/UBERON_0000081>	<http://www.w3.org/2000/01/rdf-schema#label>	"metanephros"	
<http://purl.obolibrary.org/obo/GO_0050777>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of immune response"	
<http://purl.obolibrary.org/obo/PATO_0001591>	<http://www.w3.org/2000/01/rdf-schema#label>	"curvature"	
<http://purl.obolibrary.org/obo/UBERON_0005031>	<http://www.w3.org/2000/01/rdf-schema#label>	"mucosa of upper lip"	
<http://purl.obolibrary.org/obo/NCBITaxon_3312>	<http://www.w3.org/2000/01/rdf-schema#label>	"Coniferophyta"	
<http://purl.obolibrary.org/obo/GO_2001252>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of chromosome organization"	
<http://purl.obolibrary.org/obo/GO_0002444>	<http://www.w3.org/2000/01/rdf-schema#label>	"myeloid leukocyte mediated immunity"	
<http://purl.obolibrary.org/obo/UBERON_0003519>	<http://www.w3.org/2000/01/rdf-schema#label>	"thoracic cavity blood vessel"	
<http://purl.obolibrary.org/obo/GO_0098657>	<http://www.w3.org/2000/01/rdf-schema#label>	"import into cell"	
